2017-10-23 08:35:22, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:23, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:24, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:26, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.80, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.80, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:28, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 2.01, 1, 1xbetchina, 50, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:35:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 1.99, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.81, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:31, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.25, 2.25, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:35:45, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.62, 1.99, 1, 1xbetchina, 50, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:36:40, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.28, 2.28, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:36:57, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.60, 1.97, 1, 1xbetchina, 52, 565.37, 0, 5, BET_VALUE_DECREASED, 0
